rocket_encoded,launchpad_encoded,payload_mass,temperature,humidity,wind_speed,year,month,day,hour,success
0,3,0,3.02,87,2.06,2006,3,24,22,False
0,3,1,3.59,40,6.38,2007,3,21,1,False
0,3,2,-2.82,68,2.06,2008,8,3,3,False
0,3,3,-0.64,79,5.97,2008,9,28,23,True
0,3,4,6.29,62,5.97,2009,7,13,3,True
1,0,5,19.05,24,9.26,2010,6,4,18,True
1,0,6,5.01,93,4.12,2010,12,8,15,True
1,0,7,4.92,87,4.12,2012,5,22,7,True
1,0,8,4.96,93,7.2,2012,10,8,0,True
1,0,9,6.08,87,7.02,2013,3,1,19,True
1,1,10,6.88,59,6.59,2013,9,29,16,True
1,0,11,-8.58,68,0.63,2013,12,3,22,True
1,0,12,0.27,93,2.06,2014,1,6,18,True
1,0,13,1.17,64,5.14,2014,4,18,19,True
1,0,14,1.94,38,6.17,2014,7,14,15,True
1,0,15,2.03,38,6.17,2014,8,5,8,True
1,0,16,7.77,45,3.58,2014,9,7,5,True
1,0,17,3.04,87,2.06,2014,9,21,5,True
1,0,18,0.41,100,2.42,2015,1,10,9,True
1,0,19,1.99,100,4.12,2015,2,11,23,True
1,0,20,11.96,26,7.95,2015,3,2,3,True
1,0,21,30.41,19,6.16,2015,4,14,20,True
1,0,22,26.35,60,4.32,2015,4,27,23,True
1,0,23,29.07,5,6.88,2015,6,28,14,False
1,0,24,33.26,5,4.93,2015,12,22,1,True
1,1,25,24.4,23,5.04,2016,1,17,15,True
1,0,26,24.69,16,5.92,2016,3,4,23,True
1,0,27,22.18,24,5.58,2016,4,8,20,True
1,0,28,24.49,24,5.87,2016,5,6,5,True
1,0,29,31.03,25,9.59,2016,5,27,21,True
1,0,30,23.34,16,2.17,2016,6,15,14,True
1,0,31,27.27,21,3.96,2016,7,18,4,True
1,0,32,29.67,32,5.66,2016,8,14,5,True
1,0,33,26.42,36,5.99,2016,9,1,13,False
1,1,34,22.63,47,3.96,2017,1,14,17,True
1,2,35,23.53,51,3.69,2017,2,19,14,True
1,2,36,3.95,93,3.09,2017,3,16,6,True
1,2,37,14.46,34,4.82,2017,3,30,22,True
1,2,38,11.97,41,4.93,2017,5,1,11,True
1,2,39,31.61,8,5.06,2017,5,15,23,True
1,2,40,32.36,14,4.58,2017,6,3,21,True
1,2,41,27.61,7,6.62,2017,6,23,19,True
1,1,42,22.38,55,3.89,2017,6,25,20,True
1,2,43,23.47,64,3.76,2017,7,5,23,True
1,2,44,25.92,66,2.53,2017,8,14,16,True
1,1,45,25.3,57,3.75,2017,8,24,18,True
1,2,46,28.9,54,5.57,2017,9,7,13,True
1,1,47,24.44,54,3.97,2017,10,9,12,True
